X-ray (ID 01) / Crystal angle ? _c,X-ray (ID 01) / Impulse Imp
? _c/°,Imp/# / s
,
4,21
4.1,25
4.2,22
4.3,17
4.4,19
4.5,19
4.6,21
4.7,18
4.8,16
4.9,17
5,18
5.1,17
5.2,12
5.3,16
5.4,16
5.5,18
5.6,15
5.7,12
5.8,11
5.9,12
6,10
6.1,9
6.2,8
6.3,12
6.4,10
6.5,15
6.6,14
6.7,10
6.8,13
6.9,14
7,14
7.1,28
7.2,35
7.3,51
7.4,68
7.5,70
7.6,91
7.7,106
7.8,109
7.9,115
8,130
8.1,145
8.2,164
8.3,159
8.4,178
8.5,174
8.6,189
8.7,185
8.8,191
8.9,193
9,250
9.1,224
9.2,237
9.3,264
9.4,260
9.5,256
9.6,246
9.7,272
9.8,298
9.9,291
10,278
10.1,296
10.2,284
10.3,300
10.4,322
10.5,343
10.6,304
10.7,312
10.8,320
10.9,348
11,335
11.1,363
11.2,330
11.3,336
11.4,340
11.5,319
11.6,342
11.7,346
11.8,349
11.9,315
12,334
12.1,326
12.2,310
12.3,322
12.4,341
12.5,346
12.6,327
12.7,331
12.8,323
12.9,363
13,325
13.1,329
13.2,310
13.3,306
13.4,275
13.5,266
13.6,257
13.7,249
13.8,228
13.9,209
14,237
14.1,225
14.2,220
14.3,205
14.4,233
14.5,214
14.6,203
14.7,204
14.8,218
14.9,205
15,202
15.1,208
15.2,189
15.3,208
15.4,201
15.5,205
15.6,199
15.7,183
15.8,208
15.9,196
16,198
16.1,193
16.2,189
16.3,194
16.4,184
16.5,199
16.6,183
16.7,154
16.8,154
16.9,182
17,157
17.1,166
17.2,175
17.3,180
17.4,151
17.5,154
17.6,168
17.7,159
17.8,156
17.9,133
18,157
18.1,156
18.2,163
18.3,162
18.4,142
18.5,151
18.6,153
18.7,144
18.8,162
18.9,166
19,161
19.1,145
19.2,131
19.3,141
19.4,145
19.5,136
19.6,143
19.7,174
19.8,222
19.9,289
20,342
20.1,501
20.2,1112
20.3,2248
20.4,1608
20.5,540
20.6,281
20.7,225
20.8,199
20.9,181
21,157
21.1,170
21.2,169
21.3,159
21.4,155
21.5,151
21.6,185
21.7,177
21.8,167
21.9,268
22,389
22.1,630
22.2,964
22.3,1068
22.4,1923
22.5,4550
22.6,8558
22.7,5638
22.8,1747
22.9,646
23,302
23.1,202
23.2,164
23.3,149
23.4,149
23.5,121
23.6,113
23.7,122
23.8,113
23.9,127
24,104
24.1,106
24.2,109
24.3,109
24.4,104
24.5,104
24.6,99
24.7,83
24.8,81
24.9,87
25,82
25.1,88
25.2,94
25.3,81
25.4,81
25.5,82
25.6,78
25.7,79
25.8,76
25.9,67
26,82
26.1,79
26.2,63
26.3,73
26.4,63
26.5,64
26.6,74
26.7,69
26.8,53
26.9,58
27,67
27.1,63
27.2,56
27.3,50
27.4,55
27.5,58
27.6,54
27.7,55
27.8,56
27.9,50
28,48
28.1,45
28.2,45
28.3,43
28.4,40
28.5,45
28.6,46
28.7,45
28.8,46
28.9,45
29,36
29.1,42
29.2,35
29.3,36
29.4,39
29.5,30
29.6,38
29.7,34
29.8,36
29.9,28
30,34
30.1,32
30.2,26
30.3,40
30.4,30
30.5,37
30.6,27
30.7,31
30.8,26
30.9,24
31,34
31.1,29
31.2,23
31.3,25
31.4,23
31.5,21
31.6,30
31.7,25
31.8,23
31.9,17
32,24
32.1,22
32.2,14
32.3,24
32.4,23
32.5,22
32.6,20
32.7,13
32.8,17
32.9,17
33,15
33.1,14
33.2,20
33.3,16
33.4,15
33.5,15
33.6,19
33.7,16
33.8,17
33.9,15
34,19
34.1,12
34.2,14
34.3,15
34.4,12
34.5,18
34.6,11
34.7,15
34.8,14
34.9,12
35,11
